symbol,exchange,datetime,open,high,low,close,volume,turnover,open_interest
c2611,DCE,2026-09-23 14:48:00,2183.0,2183.0,2182.0,2183.0,182.0,0.0,1193388.0
c2611,DCE,2026-09-23 14:49:00,2183.0,2183.0,2182.0,2182.0,208.0,0.0,1193417.0
c2611,DCE,2026-09-23 14:50:00,2182.0,2183.0,2182.0,2183.0,196.0,0.0,1193396.0
c2611,DCE,2026-09-23 14:51:00,2183.0,2183.0,2182.0,2183.0,259.0,0.0,1193463.0
c2611,DCE,2026-09-23 14:52:00,2183.0,2184.0,2182.0,2184.0,2561.0,0.0,1193434.0
c2611,DCE,2026-09-23 14:53:00,2184.0,2184.0,2183.0,2184.0,655.0,0.0,1192471.0
c2611,DCE,2026-09-23 14:54:00,2184.0,2185.0,2183.0,2184.0,2397.0,0.0,1192195.0
c2611,DCE,2026-09-23 14:55:00,2184.0,2185.0,2184.0,2185.0,1547.0,0.0,1191344.0
c2611,DCE,2026-09-23 14:56:00,2185.0,2186.0,2184.0,2184.0,4210.0,0.0,1191173.0
c2611,DCE,2026-09-23 14:57:00,2184.0,2185.0,2184.0,2184.0,1506.0,0.0,1191291.0
c2611,DCE,2026-09-23 14:58:00,2184.0,2185.0,2184.0,2184.0,2116.0,0.0,1191092.0
c2611,DCE,2026-09-23 14:59:00,2184.0,2185.0,2183.0,2184.0,3263.0,0.0,1189772.0
c2611,DCE,2026-09-23 21:00:00,2185.0,2187.0,2183.0,2183.0,10360.0,0.0,1187990.0
c2611,DCE,2026-09-23 21:01:00,2183.0,2185.0,2183.0,2184.0,4961.0,0.0,1186929.0
c2611,DCE,2026-09-23 21:02:00,2184.0,2185.0,2184.0,2185.0,1722.0,0.0,1186666.0
c2611,DCE,2026-09-23 21:03:00,2185.0,2185.0,2184.0,2185.0,1455.0,0.0,1186798.0
c2611,DCE,2026-09-23 21:04:00,2185.0,2186.0,2184.0,2185.0,3854.0,0.0,1186584.0
c2611,DCE,2026-09-23 21:05:00,2185.0,2186.0,2184.0,2185.0,6660.0,0.0,1187349.0
c2611,DCE,2026-09-23 21:06:00,2185.0,2186.0,2185.0,2186.0,2895.0,0.0,1187517.0
c2611,DCE,2026-09-23 21:07:00,2186.0,2187.0,2185.0,2187.0,3957.0,0.0,1187143.0
c2611,DCE,2026-09-23 21:08:00,2187.0,2187.0,2185.0,2187.0,1975.0,0.0,1186641.0
c2611,DCE,2026-09-23 21:09:00,2187.0,2187.0,2186.0,2187.0,1211.0,0.0,1186379.0
c2611,DCE,2026-09-23 21:10:00,2187.0,2187.0,2184.0,2184.0,3935.0,0.0,1186546.0
c2611,DCE,2026-09-23 21:11:00,2184.0,2185.0,2183.0,2184.0,2639.0,0.0,1185066.0
c2611,DCE,2026-09-23 21:12:00,2184.0,2184.0,2183.0,2184.0,652.0,0.0,1185548.0
c2611,DCE,2026-09-23 21:13:00,2184.0,2184.0,2182.0,2182.0,2868.0,0.0,1185636.0
c2611,DCE,2026-09-23 21:14:00,2182.0,2183.0,2181.0,2181.0,3161.0,0.0,1185574.0
c2611,DCE,2026-09-23 21:15:00,2181.0,2182.0,2180.0,2180.0,2661.0,0.0,1184922.0
c2611,DCE,2026-09-23 21:16:00,2180.0,2181.0,2180.0,2180.0,2330.0,0.0,1185236.0
c2611,DCE,2026-09-23 21:17:00,2180.0,2181.0,2177.0,2179.0,17000.0,0.0,1184652.0
c2611,DCE,2026-09-23 21:18:00,2179.0,2180.0,2178.0,2179.0,2456.0,0.0,1186510.0
c2611,DCE,2026-09-23 21:19:00,2179.0,2180.0,2178.0,2179.0,4934.0,0.0,1186320.0
c2611,DCE,2026-09-23 21:20:00,2179.0,2180.0,2178.0,2180.0,2863.0,0.0,1185078.0
c2611,DCE,2026-09-23 21:21:00,2180.0,2180.0,2179.0,2180.0,955.0,0.0,1185096.0
c2611,DCE,2026-09-23 21:22:00,2180.0,2180.0,2179.0,2180.0,408.0,0.0,1185022.0
c2611,DCE,2026-09-23 21:23:00,2180.0,2180.0,2179.0,2180.0,535.0,0.0,1184727.0
c2611,DCE,2026-09-23 21:24:00,2180.0,2180.0,2179.0,2179.0,1512.0,0.0,1184694.0
c2611,DCE,2026-09-23 21:25:00,2179.0,2180.0,2179.0,2180.0,547.0,0.0,1184936.0
c2611,DCE,2026-09-23 21:26:00,2180.0,2180.0,2179.0,2180.0,605.0,0.0,1184944.0
c2611,DCE,2026-09-23 21:27:00,2180.0,2180.0,2178.0,2178.0,4673.0,0.0,1184825.0
c2611,DCE,2026-09-23 21:28:00,2178.0,2179.0,2178.0,2179.0,560.0,0.0,1184378.0
c2611,DCE,2026-09-23 21:29:00,2179.0,2179.0,2178.0,2179.0,488.0,0.0,1184427.0
c2611,DCE,2026-09-23 21:30:00,2179.0,2179.0,2178.0,2178.0,587.0,0.0,1184130.0
c2611,DCE,2026-09-23 21:31:00,2178.0,2179.0,2178.0,2178.0,525.0,0.0,1183882.0
c2611,DCE,2026-09-23 21:32:00,2178.0,2179.0,2177.0,2178.0,2654.0,0.0,1183705.0
c2611,DCE,2026-09-23 21:33:00,2178.0,2178.0,2177.0,2177.0,802.0,0.0,1183854.0
c2611,DCE,2026-09-23 21:34:00,2177.0,2179.0,2176.0,2179.0,5706.0,0.0,1183722.0
c2611,DCE,2026-09-23 21:35:00,2179.0,2180.0,2178.0,2180.0,1806.0,0.0,1183892.0
c2611,DCE,2026-09-23 21:36:00,2180.0,2180.0,2178.0,2178.0,1096.0,0.0,1183290.0
c2611,DCE,2026-09-23 21:37:00,2178.0,2179.0,2178.0,2179.0,607.0,0.0,1182885.0
c2611,DCE,2026-09-23 21:38:00,2179.0,2179.0,2178.0,2178.0,259.0,0.0,1182374.0
c2611,DCE,2026-09-23 21:39:00,2178.0,2179.0,2177.0,2178.0,1898.0,0.0,1182194.0
c2611,DCE,2026-09-23 21:40:00,2178.0,2179.0,2177.0,2178.0,1278.0,0.0,1181670.0
c2611,DCE,2026-09-23 21:41:00,2178.0,2179.0,2178.0,2179.0,283.0,0.0,1181638.0
c2611,DCE,2026-09-23 21:42:00,2179.0,2179.0,2178.0,2178.0,1029.0,0.0,1181636.0
c2611,DCE,2026-09-23 21:43:00,2178.0,2179.0,2178.0,2178.0,226.0,0.0,1181804.0
c2611,DCE,2026-09-23 21:44:00,2178.0,2179.0,2178.0,2178.0,883.0,0.0,1181683.0
c2611,DCE,2026-09-23 21:45:00,2178.0,2180.0,2178.0,2179.0,1361.0,0.0,1181519.0
c2611,DCE,2026-09-23 21:46:00,2179.0,2180.0,2178.0,2179.0,547.0,0.0,1181724.0
c2611,DCE,2026-09-23 21:47:00,2179.0,2180.0,2179.0,2179.0,277.0,0.0,1181528.0
c2611,DCE,2026-09-23 21:48:00,2179.0,2180.0,2179.0,2180.0,303.0,0.0,1181547.0
c2611,DCE,2026-09-23 21:49:00,2180.0,2180.0,2179.0,2180.0,207.0,0.0,1181714.0
c2611,DCE,2026-09-23 21:50:00,2180.0,2180.0,2179.0,2179.0,257.0,0.0,1181755.0
c2611,DCE,2026-09-23 21:51:00,2179.0,2180.0,2179.0,2180.0,668.0,0.0,1181597.0
c2611,DCE,2026-09-23 21:52:00,2180.0,2180.0,2179.0,2179.0,102.0,0.0,1181484.0
c2611,DCE,2026-09-23 21:53:00,2179.0,2180.0,2178.0,2179.0,1313.0,0.0,1181450.0
c2611,DCE,2026-09-23 21:54:00,2179.0,2179.0,2178.0,2178.0,221.0,0.0,1181510.0
c2611,DCE,2026-09-23 21:55:00,2178.0,2179.0,2178.0,2178.0,151.0,0.0,1181484.0
c2611,DCE,2026-09-23 21:56:00,2178.0,2179.0,2178.0,2178.0,329.0,0.0,1181466.0
c2611,DCE,2026-09-23 21:57:00,2178.0,2179.0,2178.0,2178.0,114.0,0.0,1181488.0
c2611,DCE,2026-09-23 21:58:00,2178.0,2179.0,2178.0,2178.0,208.0,0.0,1181504.0
c2611,DCE,2026-09-23 21:59:00,2178.0,2179.0,2178.0,2179.0,135.0,0.0,1181607.0
c2611,DCE,2026-09-23 22:00:00,2179.0,2179.0,2178.0,2178.0,77.0,0.0,1181584.0
c2611,DCE,2026-09-23 22:01:00,2178.0,2179.0,2177.0,2177.0,1924.0,0.0,1181578.0
c2611,DCE,2026-09-23 22:02:00,2177.0,2178.0,2177.0,2177.0,921.0,0.0,1181772.0
c2611,DCE,2026-09-23 22:03:00,2177.0,2178.0,2177.0,2177.0,118.0,0.0,1181611.0
c2611,DCE,2026-09-23 22:04:00,2177.0,2178.0,2176.0,2178.0,6895.0,0.0,1181638.0
c2611,DCE,2026-09-23 22:05:00,2178.0,2178.0,2176.0,2177.0,1145.0,0.0,1179966.0
c2611,DCE,2026-09-23 22:06:00,2177.0,2177.0,2175.0,2177.0,5701.0,0.0,1179880.0
c2611,DCE,2026-09-23 22:07:00,2177.0,2177.0,2176.0,2176.0,591.0,0.0,1180419.0
c2611,DCE,2026-09-23 22:08:00,2176.0,2177.0,2175.0,2175.0,2763.0,0.0,1180444.0
c2611,DCE,2026-09-23 22:09:00,2175.0,2176.0,2175.0,2175.0,977.0,0.0,1179191.0
c2611,DCE,2026-09-23 22:10:00,2175.0,2176.0,2175.0,2175.0,543.0,0.0,1178958.0
c2611,DCE,2026-09-23 22:11:00,2175.0,2177.0,2175.0,2177.0,4052.0,0.0,1178790.0
c2611,DCE,2026-09-23 22:12:00,2177.0,2177.0,2175.0,2176.0,1106.0,0.0,1179085.0
c2611,DCE,2026-09-23 22:13:00,2176.0,2176.0,2175.0,2176.0,314.0,0.0,1179236.0
c2611,DCE,2026-09-23 22:14:00,2176.0,2176.0,2175.0,2175.0,260.0,0.0,1179236.0
c2611,DCE,2026-09-23 22:15:00,2175.0,2176.0,2175.0,2176.0,379.0,0.0,1179304.0
c2611,DCE,2026-09-23 22:16:00,2176.0,2176.0,2174.0,2175.0,2914.0,0.0,1179391.0
c2611,DCE,2026-09-23 22:17:00,2175.0,2176.0,2175.0,2176.0,1131.0,0.0,1179915.0
c2611,DCE,2026-09-23 22:18:00,2176.0,2176.0,2175.0,2175.0,151.0,0.0,1179869.0
c2611,DCE,2026-09-23 22:19:00,2175.0,2176.0,2175.0,2176.0,99.0,0.0,1179910.0
c2611,DCE,2026-09-23 22:20:00,2176.0,2176.0,2175.0,2176.0,386.0,0.0,1179915.0
c2611,DCE,2026-09-23 22:21:00,2176.0,2176.0,2175.0,2175.0,234.0,0.0,1179805.0
