2026-09-24 10:12:01.730 | INFO | CtaStrategy | [wqk27]  [V2.7 MA] old=BULL new=BEAR fast=2175.0000 slow=2174.5500
2026-09-24 10:12:01.730 | INFO | CtaStrategy | [wqk27]  [V2.7 REGIME] ADX=SHORT MA=BEAR BB=NEUTRAL direction=BEAR Final=SHORT reason=REGIME_SHORT
2026-09-24 10:13:02.049 | INFO | CtaStrategy | [wqk27]  [V2.7 TREND] ADX=29.70522446802037 +DI=14.830611829899713 -DI=14.512916630861339 candidate=LONG confirm=2/2 state=LONG
2026-09-24 10:13:02.050 | INFO | CtaStrategy | [wqk27]  [V2.7 MA] old=BEAR new=NEUTRAL fast=2175.0000 slow=2174.5500
2026-09-24 10:13:02.050 | INFO | CtaStrategy | [wqk27]  [V2.7 REGIME] ADX=LONG MA=NEUTRAL BB=NEUTRAL direction=BULL Final=RANGE reason=REGIME_LONG_MA_NEUTRAL
2026-09-24 10:31:01.747 | INFO | CtaStrategy | [wqk27]  [V2.7 TREND] ADX=25.23805867448852 +DI=15.644502287383716 -DI=16.41678767301739 candidate=SHORT confirm=1/2 state=LONG
2026-09-24 10:31:01.748 | INFO | CtaStrategy | [wqk27]  [V2.7 ENTRY FILTER] regime=RANGE signal=DEATH_CROSS action=BLOCK reason=NO_TREND ADX=LONG BB=NEUTRAL MA=NEUTRAL fast=2174.5000 slow=2174.6500
2026-09-24 10:32:02.267 | INFO | CtaStrategy | [wqk27]  [V2.7 TREND] ADX=23.607649124520577 +DI=14.827813656747379 -DI=15.5594876942941 candidate=NONE confirm=0/2 state=RANGE
2026-09-24 10:32:02.268 | INFO | CtaStrategy | [wqk27]  [V2.7 MA] old=NEUTRAL new=BULL fast=2174.6000 slow=2174.7000
2026-09-24 10:32:02.268 | INFO | CtaStrategy | [wqk27]  [V2.7 REGIME] ADX=RANGE MA=BULL BB=NEUTRAL direction=BULL Final=RANGE reason=ADX_RANGE
2026-09-24 10:35:01.790 | INFO | CtaStrategy | [wqk27]  [V2.7 MA] old=BULL new=NEUTRAL fast=2174.7000 slow=2174.9000
2026-09-24 10:37:01.403 | INFO | CtaStrategy | [wqk27]  [V2.7 MA] old=NEUTRAL new=BEAR fast=2174.7000 slow=2174.8500
2026-09-24 10:39:02.088 | INFO | CtaStrategy | [wqk27]  [V2.7 BB STATE] old=NEUTRAL new=COMPRESSION_HOLD percentile=12.50% bw=0.00142193422574288 release_count=0 direction=BEAR
2026-09-24 10:40:01.444 | INFO | CtaStrategy | [wqk27]  [V2.7 BB STATE] old=COMPRESSION_HOLD new=NEUTRAL percentile=23.33% bw=0.0015255378320261314 release_count=1 direction=BEAR
2026-09-24 10:42:01.409 | INFO | CtaStrategy | [wqk27]  [V2.7 MA] old=BEAR new=NEUTRAL fast=2174.1000 slow=2174.3500
2026-09-24 10:44:01.757 | INFO | CtaStrategy | [wqk27]  [V2.7 BB STATE] old=NEUTRAL new=COMPRESSION_HOLD percentile=18.33% bw=0.0014636641465013273 release_count=0 direction=BEAR
2026-09-24 10:50:01.764 | INFO | CtaStrategy | [wqk27]  [V2.7 MA] old=NEUTRAL new=BULL fast=2174.5000 slow=2174.4000
2026-09-24 10:50:01.764 | INFO | CtaStrategy | [wqk27]  [V2.7 BB STATE] old=COMPRESSION_HOLD new=COMPRESSION_RELEASE percentile=7.50% bw=0.0012754660757627549 release_count=2 direction=BULL
2026-09-24 10:50:01.764 | INFO | CtaStrategy | [wqk27]  [V2.7 ENTRY FILTER] regime=RANGE signal=GOLDEN_CROSS action=BLOCK reason=NO_TREND ADX=RANGE BB=COMPRESSION_RELEASE MA=BULL fast=2174.5000 slow=2174.4000
2026-09-24 10:51:01.474 | INFO | CtaStrategy | [wqk27]  [V2.7 BB STATE] old=COMPRESSION_RELEASE new=COMPRESSION_HOLD percentile=8.33% bw=0.0012754660757627549 release_count=0 direction=BULL
2026-09-24 10:53:01.741 | INFO | CtaStrategy | [wqk27]  [V2.7 BB STATE] old=COMPRESSION_HOLD new=NEUTRAL percentile=36.67% bw=0.0016085767135936495 release_count=2 direction=BULL
2026-09-24 11:00:01.772 | INFO | CtaStrategy | [wqk27]  [V2.7 MA] old=BULL new=NEUTRAL fast=2176.4000 slow=2175.4500
